City,Country,Temperature (F),Humidity (%),Cloudiness(%),Wind Speed (mph),Latitude
Honiara,SB,82.4,78,40,4.7,-9.43
Punta Arenas,CL,59.0,51,0,23.04,-53.16
Vila Velha,BR,77.0,94,75,3.36,-3.71
Belmonte,BR,71.0,94,92,3.62,-26.84
Ushuaia,AR,53.6,71,75,9.17,-54.81
Barrow,US,52.66,57,1,14.99,39.51
Saskylakh,RU,-30.48,50,0,10.11,71.97
Nuuk,GL,33.8,80,90,3.36,64.17
Narsaq,GL,28.4,74,5,2.73,60.91
Mae Ramat,TH,62.85,80,12,1.95,16.98
Kysyl-Syr,RU,-23.87,70,32,2.73,63.9
Alofi,NU,84.2,74,75,9.17,-19.06
Busselton,AU,63.48,100,48,11.79,-33.64
Clifton,US,54.19,54,90,11.41,40.86
Cape Town,ZA,68.0,64,0,18.34,-33.93
Puerto Ayora,EC,84.2,66,20,12.75,-0.74
Tiksi,RU,-19.86,57,80,3.96,71.64
Rikitea,PF,81.66,98,0,18.16,-23.12
Matagami,CA,23.0,67,1,9.17,49.76
Port Lincoln,AU,72.57,79,44,7.09,-34.72
Ixtapa,MX,77.0,69,20,12.75,20.71
Talnakh,RU,-8.12,77,68,23.53,69.49
Albany,AU,62.99,79,92,4.74,-35.02
Leningradskiy,RU,25.55,83,0,17.83,69.38
Yellowknife,CA,1.4,59,40,10.29,62.45
Upernavik,GL,26.49,90,92,13.24,72.79
Inuvik,CA,-11.35,69,75,2.73,68.36
Atuona,PF,81.39,100,20,18.28,-9.8
Katsuura,JP,39.2,60,40,9.17,33.93
Cranbrook,CA,32.0,73,90,3.36,49.51
Iqaluit,CA,6.8,92,75,4.7,63.75
Kapaa,US,77.07,83,75,3.36,22.08
Sopron,HU,17.6,85,75,11.41,47.68
Parabel,RU,-21.12,61,24,2.62,58.71
Pochutla,MX,84.65,97,5,19.46,15.74
Qaanaaq,GL,12.77,91,80,9.66,77.48
East London,ZA,71.54,100,100,9.66,-33.02
Vardo,NO,24.8,79,75,3.36,70.37
Saint-Philippe,RE,77.95,78,0,5.82,-21.36
Soyo,AO,73.7,97,44,2.73,-6.13
Inirida,CO,79.86,75,32,2.17,3.87
Esperance,AU,68.25,87,92,9.66,-33.86
Mahebourg,MU,80.6,83,40,11.41,-20.41
Blantyre,MW,69.65,100,92,1.16,-15.79
Whitehorse,CA,3.2,54,20,11.41,60.72
Manjacaze,MZ,69.24,93,8,6.42,-24.71
Acapulco,MX,84.2,66,5,9.17,16.86
Klaksvik,FO,32.0,100,48,5.82,62.23
Poum,NC,82.02,100,92,5.86,-20.23
Manaure,CO,80.6,74,0,13.87,11.78
Port Alfred,ZA,66.9,97,92,6.42,-33.59
Amuntai,ID,76.49,87,76,2.62,-2.42
Barcelos,BR,85.35,65,32,4.97,-0.97
Noumea,NC,86.0,58,40,2.24,-22.28
Hambantota,LK,79.1,100,0,12.68,6.12
Clyde River,CA,14.0,100,90,6.93,70.47
Sinor,IN,68.16,63,0,3.18,21.91
Khatanga,RU,-12.44,59,44,7.65,71.98
Jamestown,SH,73.97,100,76,12.01,-15.94
Castro,CL,57.45,90,8,2.62,-42.48
Severo-Kurilsk,RU,27.66,100,92,23.53,50.68
Sorrento,IT,55.76,72,40,9.17,40.63
Eureka,US,43.09,93,90,11.41,40.8
Novyye Lyady,RU,17.6,72,75,6.71,58.05
Vaini,TO,84.2,74,75,4.7,-21.2
Deniliquin,AU,73.02,62,24,5.53,-35.53
Port Hardy,CA,46.4,65,40,18.34,50.7
Meulaboh,ID,78.74,100,20,3.51,4.14
Hithadhoo,MV,80.67,100,80,7.99,-0.6
Kodiak,US,53.6,27,1,13.87,39.95
Sobolevo,RU,11.69,81,88,14.7,54.43
New Norfolk,AU,59.0,77,75,6.93,-42.78
Muros,ES,39.2,86,75,8.05,42.77
Timbiqui,CO,76.94,90,68,1.72,2.77
Ponta do Sol,CV,68.52,100,0,4.74,17.2
Santander,ES,50.0,66,48,12.75,43.46
Hilo,US,70.11,88,90,3.36,19.71
Sept-Iles,CA,28.4,74,75,8.05,50.2
Thompson,CA,24.8,79,75,8.05,55.74
Carbondale,US,52.95,66,75,9.17,37.73
Hasaki,JP,44.22,31,40,8.05,35.73
Nikolskoye,RU,3.2,84,36,4.47,59.7
Chicama,PE,69.8,88,75,5.82,-7.84
Namibe,AO,73.92,100,20,9.22,-15.19
Bredasdorp,ZA,68.0,68,48,9.17,-34.53
Agadez,NE,61.68,28,0,2.73,16.97
Alugan,PH,79.14,100,76,5.97,12.22
Kano,NG,73.4,28,0,5.82,11.99
Avarua,CK,86.0,74,40,6.93,-21.21
Zaria,NG,66.36,29,0,5.64,11.11
Kahului,US,78.06,61,40,15.26,20.89
Sur,OM,72.03,99,24,10.67,22.57
Adre,TD,82.25,27,100,5.97,13.47
Hobart,AU,59.0,77,75,6.93,-42.88
Port Elizabeth,ZA,64.4,93,90,1.12,-33.92
Manacapuru,BR,78.74,88,24,5.64,-3.3
Cidreira,BR,72.75,91,68,8.66,-30.17
Lompoc,US,56.64,66,90,10.29,34.64
Georgetown,SH,78.74,100,92,15.37,-7.93
Lebu,CL,59.84,92,0,14.7,-37.62
Port Macquarie,AU,69.8,73,90,8.05,-31.43
Usinsk,RU,14.79,83,32,15.37,66.0
Rudbar,AF,60.15,45,64,7.65,30.15
Nishihara,JP,45.82,48,1,19.28,35.74
Ancud,CL,58.85,83,68,1.61,-41.87
Luderitz,NA,69.8,52,0,29.97,-26.65
Havelock,US,65.37,93,90,8.05,34.88
Buraydah,SA,62.6,88,40,9.17,26.33
San Cristobal,EC,62.9,100,92,2.95,-1.02
Sulangan,PH,80.67,100,36,9.89,11.14
Mogadishu,SO,80.58,98,8,13.47,2.04
Kruisfontein,ZA,66.36,97,92,8.66,-34.0
Chuy,UY,69.78,94,0,6.98,-33.69
Hami,CN,28.74,64,0,4.97,42.84
Skjervoy,NO,30.32,100,88,7.31,70.03
Saldanha,ZA,68.0,56,0,5.82,-33.01
Hermanus,ZA,60.74,88,24,9.44,-34.42
Chokurdakh,RU,-2.94,74,76,12.91,70.62
Camacupa,AO,66.05,77,36,12.01,-12.02
